health_index,rul_hours,degradation_rate,anomaly_severity,egt_deviation,cht_deviation,oil_pressure_deviation,vibration_deviation,mission_duration,mission_altitude,engine_load,label
49.37,899.1,0.0127,0.037,30.9,16.2,-8.5,1.471,240.1,12909.0,54.8,2
14.59,269.9,0.0284,0.103,52.9,26.2,-16.4,2.378,176.4,10521.0,97.2,2
63.27,1299.9,0.0168,0.078,25.1,13.1,-6.4,0.537,138.0,13127.0,76.6,2
51.33,1011.5,0.0341,0.062,27.3,21.9,-11.5,1.953,95.9,13690.0,95.4,2
93.34,1649.4,0.0052,0.0,1.4,5.4,-2.5,0.136,204.1,4340.0,55.5,0
77.68,1358.9,0.0093,0.06,4.3,4.0,-3.6,1.218,120.8,11963.0,90.4,1
87.31,1541.4,0.0289,0.073,7.5,2.6,-5.1,0.0,197.3,13994.0,98.8,1
80.26,1603.6,0.0128,0.188,18.8,7.4,-1.6,1.115,77.6,6352.0,73.1,1
95.59,1501.1,0.0084,0.0,-4.4,-1.1,1.8,0.53,154.5,6372.0,43.1,0
72.79,1330.6,0.0608,0.011,13.2,9.2,-6.9,0.905,232.2,12021.0,69.5,2
74.47,1286.5,0.0345,0.022,12.8,1.4,-6.4,0.507,30.1,6545.0,86.5,2
100.0,1812.3,0.0073,0.0,-0.4,0.0,3.4,0.0,251.2,1391.0,63.7,0
100.0,1894.6,0.0048,0.0,5.1,3.1,0.4,0.481,89.2,3126.0,85.1,1
83.32,1500.0,0.0629,0.141,2.1,1.4,-3.7,0.29,67.0,9803.0,66.9,2
100.0,2160.3,0.0013,0.0,-1.8,-3.4,-3.8,0.0,228.4,8496.0,73.1,1
57.14,1058.3,0.0109,0.106,17.0,15.4,-9.3,1.388,143.0,11369.0,89.6,2
90.96,1759.9,0.0125,0.0,12.6,5.7,-2.1,0.601,30.3,3184.0,93.7,1
52.2,1236.7,0.0046,0.018,23.9,15.6,-8.8,0.87,88.1,8787.0,51.7,1
100.0,1859.5,0.0124,0.0,-2.4,-0.6,-1.4,0.0,116.5,5411.0,43.3,0
44.14,1059.5,0.0214,0.167,32.8,19.1,-11.9,1.658,59.0,1730.0,77.2,2
96.99,1635.8,0.028,0.0,-4.3,1.2,0.1,0.0,117.5,14230.0,74.6,1
100.0,2055.4,0.0274,0.0,8.4,-1.6,2.1,0.034,64.6,4816.0,51.6,0
33.22,791.4,0.0145,0.103,38.2,17.9,-13.3,2.057,280.2,13992.0,63.5,2
100.0,1819.5,0.0076,0.0,-2.2,-0.1,-0.2,0.0,132.2,1420.0,50.0,0
100.0,2089.9,0.0128,0.0,1.9,-1.9,0.0,0.0,280.4,8961.0,80.1,1
100.0,1365.9,0.0086,0.0,4.0,0.2,0.5,0.0,213.7,8440.0,41.6,0
85.09,1443.8,0.0803,0.079,9.5,7.0,-5.8,0.042,267.3,5596.0,73.9,2
17.47,437.3,0.0268,0.12,33.0,21.8,-12.4,0.674,80.7,8914.0,92.7,2
59.75,1156.2,0.0179,0.04,21.1,13.2,-10.2,1.602,142.8,1776.0,87.7,2
33.11,641.8,0.0031,0.022,28.8,19.7,-10.6,0.733,74.1,10025.0,62.6,2
92.36,2034.4,0.0027,0.0,7.5,10.4,-1.8,0.0,56.1,14210.0,64.3,0
49.03,1344.5,0.0023,0.098,32.6,15.0,-9.7,1.555,146.4,538.0,72.1,2
100.0,1893.2,0.0078,0.0,-2.5,-1.2,-0.5,0.0,256.1,1763.0,43.6,0
68.61,1310.4,0.015,0.018,23.5,12.3,-8.7,1.199,47.0,14531.0,58.6,1
90.94,1748.1,0.0104,0.0,6.4,7.1,0.8,0.0,257.4,14151.0,47.6,0
82.83,1740.6,0.0073,0.143,4.9,3.1,-0.1,0.158,153.2,5795.0,61.7,0
98.08,1728.9,0.0542,0.0,-6.0,4.1,-1.0,0.0,72.5,3087.0,98.5,2
87.68,1708.5,0.0173,0.056,4.7,10.4,-5.4,0.939,47.1,2927.0,74.1,1
100.0,1994.2,0.0078,0.0,-1.1,-0.6,0.8,0.701,123.9,1359.0,53.6,0
100.0,1930.9,0.0017,0.0,-1.4,-2.8,-1.7,0.0,206.4,10093.0,66.1,0
0.0,0.0,0.0174,0.064,56.8,25.8,-15.1,2.428,170.3,7623.0,66.2,3
70.8,1155.8,0.0026,0.014,15.5,7.6,-2.3,0.673,43.7,14721.0,68.1,2
90.72,1825.5,0.0264,0.0,0.8,4.2,0.3,0.252,261.2,9466.0,60.9,0
26.97,507.4,0.0047,0.085,28.9,21.3,-13.5,2.874,228.9,6896.0,52.9,2
93.5,1795.7,0.0081,0.0,5.2,4.3,-2.8,0.602,288.1,2316.0,51.9,0
61.51,1102.7,0.0262,0.106,19.4,8.2,-6.3,0.387,159.2,2211.0,56.4,1
61.26,1367.7,0.0035,0.028,23.8,5.3,-7.1,1.967,250.1,6724.0,89.2,2
100.0,1400.5,0.0073,0.0,1.1,-2.1,2.6,0.0,103.7,1963.0,66.3,0
72.98,1275.9,0.0225,0.052,20.9,7.6,-9.1,0.984,264.1,14982.0,76.8,2
45.06,1212.7,0.0181,0.159,21.8,13.7,-6.9,1.243,140.0,8523.0,73.1,2
100.0,1752.7,0.0062,0.0,-4.0,1.7,0.8,0.0,114.9,6025.0,56.1,0
38.72,571.3,0.0028,0.034,37.7,17.9,-11.8,1.602,45.6,14239.0,64.2,2
60.96,864.5,0.0097,0.049,13.5,11.8,-7.5,1.147,213.0,12217.0,54.1,1
80.88,1661.6,0.0178,0.009,9.7,7.4,-4.8,0.418,132.1,12527.0,52.8,0
50.45,817.0,0.0144,0.127,26.4,12.7,-8.2,1.465,231.7,5573.0,51.3,1
47.97,852.5,0.0059,0.147,21.5,14.7,-6.6,1.555,138.9,13850.0,54.8,2
88.65,1545.2,0.0071,0.003,2.9,5.0,3.8,0.0,244.9,13614.0,88.2,1
81.4,1617.5,0.0081,0.08,18.2,6.7,-1.2,0.0,137.8,527.0,49.7,0
88.49,1809.8,0.0371,0.086,6.4,2.8,-5.0,0.539,197.1,11400.0,47.7,0
35.24,645.0,0.0701,0.113,34.7,17.3,-12.7,2.256,232.3,4318.0,47.1,2
32.98,671.4,0.1245,0.153,48.8,16.8,-12.3,2.575,228.9,10170.0,71.4,2
80.06,1497.5,0.0927,0.09,3.0,6.4,-2.7,0.385,296.4,1407.0,64.7,1
58.22,991.8,0.0228,0.167,20.3,16.2,-8.8,1.365,121.0,9095.0,79.5,2
100.0,1693.0,0.0117,0.0,-0.8,-4.1,-1.1,0.0,263.6,463.0,63.8,0
27.87,542.4,0.089,0.152,40.4,14.7,-12.5,2.755,173.4,11689.0,54.7,2
75.08,1235.3,0.0185,0.101,13.1,4.4,-4.2,0.331,151.4,9607.0,52.1,0
100.0,1520.5,0.001,0.0,9.6,3.4,0.2,0.0,119.7,2537.0,52.7,0
77.27,1384.8,0.0147,0.379,9.9,9.6,-6.8,0.473,186.7,11616.0,77.9,1
100.0,1901.3,0.0057,0.0,3.4,-2.3,-1.2,0.157,245.1,3911.0,49.2,0
61.43,974.5,0.0251,0.037,24.4,16.7,-2.4,0.449,113.1,3249.0,81.3,2
61.1,888.3,0.0221,0.025,15.3,14.2,-8.8,2.377,66.5,10403.0,80.5,2
82.16,1219.8,0.0192,0.179,11.3,1.3,-2.8,0.0,94.0,12446.0,72.7,1
6.91,0.0,0.0167,0.089,56.7,23.2,-16.2,2.835,229.1,1078.0,70.9,3
70.98,907.2,0.0015,0.035,15.2,7.0,-6.1,0.706,55.7,9.0,65.9,2
82.77,1105.7,0.0085,0.065,9.7,8.1,-7.0,0.0,118.1,9623.0,64.7,0
66.14,1323.3,0.0346,0.178,17.3,3.8,-4.6,1.457,107.5,3756.0,55.8,1
100.0,2111.8,0.052,0.0,0.3,-3.4,0.8,0.289,172.7,12493.0,58.2,1
100.0,1619.9,0.0089,0.0,0.1,2.6,-3.0,0.0,166.5,9550.0,64.5,0
68.46,1364.6,0.0084,0.066,15.8,11.5,-4.7,0.442,91.5,11390.0,73.2,2
38.09,816.8,0.0222,0.004,39.2,19.4,-10.8,1.443,35.9,12732.0,49.3,2
100.0,1687.6,0.0091,0.0,-6.0,-3.2,-3.7,0.365,274.1,8242.0,49.0,0
100.0,2084.4,0.0088,0.0,0.5,-6.0,0.5,0.0,158.9,5395.0,53.5,0
100.0,1643.4,0.0515,0.0,-10.8,-0.8,-1.2,0.0,239.7,12158.0,82.7,2
63.36,1354.8,0.0063,0.001,23.2,7.5,-6.5,0.99,141.8,2650.0,89.5,2
95.29,1825.7,0.016,0.0,8.5,-7.7,-2.1,0.63,292.0,13589.0,98.2,1
100.0,1415.7,0.0104,0.0,-0.3,-3.6,-1.2,0.0,71.5,11097.0,44.5,0
67.89,1049.4,0.0055,0.033,25.7,9.5,-8.1,0.464,129.6,2622.0,53.2,1
43.16,340.9,0.0149,0.008,27.5,14.3,-12.0,2.421,197.0,13900.0,55.5,2
60.38,1129.9,0.0392,0.018,15.8,11.0,-8.3,1.073,233.5,4277.0,60.1,1
57.97,1140.4,0.0056,0.052,21.0,15.0,-8.0,0.897,162.1,2125.0,49.2,1
100.0,1421.4,0.0005,0.0,7.9,1.5,0.3,0.0,38.7,9216.0,62.4,0
71.3,1323.1,0.0152,0.107,9.0,9.8,-4.1,0.833,132.0,7957.0,75.6,2
89.12,1585.8,0.0132,0.055,2.7,4.6,-1.5,0.0,192.4,11458.0,57.1,0
100.0,1925.1,0.0226,0.0,8.9,2.0,-0.0,0.795,296.7,243.0,67.2,0
97.46,1849.5,0.0172,0.0,-2.6,1.2,-0.6,0.0,101.8,7561.0,45.4,0
86.16,1455.3,0.037,0.072,10.9,3.0,-2.3,0.714,151.0,4192.0,91.3,1
88.84,1783.6,0.012,0.04,2.3,-0.8,-4.0,0.609,213.6,2720.0,80.5,1
100.0,1555.1,0.0007,0.0,14.3,1.1,1.2,0.0,87.7,13501.0,60.6,0
36.59,1003.1,0.0033,0.065,33.3,18.5,-9.5,1.569,193.8,10655.0,82.8,2
37.79,284.7,0.0078,0.003,31.3,14.8,-11.3,1.582,280.5,3969.0,42.4,2
91.61,1418.3,0.0317,0.0,9.7,4.8,-1.7,0.0,121.5,4919.0,45.4,0
98.88,1806.3,0.0275,0.0,1.1,2.7,1.5,0.0,114.9,11609.0,85.9,1
28.57,371.4,0.0024,0.062,36.7,25.6,-15.0,1.387,55.5,14914.0,86.2,2
100.0,1839.7,0.0165,0.0,-1.3,0.2,0.2,0.108,104.5,6213.0,42.5,0
55.73,1016.6,0.023,0.026,35.4,11.7,-7.1,1.641,145.0,4917.0,70.2,2
89.72,1455.2,0.0075,0.014,9.9,4.0,0.7,0.209,99.3,14547.0,87.1,1
58.42,912.6,0.027,0.158,21.0,12.9,-7.6,1.405,281.0,1728.0,73.8,2
98.03,1831.0,0.0265,0.0,4.5,-1.6,-1.4,0.0,62.0,14056.0,93.7,1
99.0,1903.0,0.0056,0.0,14.6,-4.8,-1.7,0.0,299.9,6830.0,92.4,1
43.5,850.0,0.0024,0.12,33.6,18.8,-10.9,2.473,125.9,6787.0,65.0,2
27.78,503.6,0.002,0.043,49.8,23.3,-11.5,1.34,207.0,1410.0,97.0,2
24.31,401.5,0.0126,0.207,37.6,21.1,-14.0,1.938,129.6,3818.0,63.2,2
66.32,1281.2,0.0021,0.095,22.5,13.0,-3.5,1.731,188.6,14493.0,71.3,2
77.06,1257.2,0.0413,0.131,8.8,7.1,-5.7,0.024,181.7,1898.0,85.1,1
100.0,1855.5,0.0091,0.0,-5.4,-3.9,3.2,0.0,39.8,8343.0,53.0,0
52.92,891.7,0.0218,0.161,18.9,17.0,-7.5,0.867,55.3,13320.0,85.9,2
100.0,1592.7,0.0119,0.0,3.4,-7.1,2.1,0.0,226.7,648.0,40.3,0
96.53,1262.0,0.0036,0.0,2.6,0.5,0.3,0.481,170.9,6467.0,75.9,1
66.34,1277.3,0.0021,0.142,23.1,10.5,-12.2,0.203,77.1,11461.0,69.8,2
100.0,1802.7,0.0193,0.0,1.4,1.4,0.7,0.349,83.5,8605.0,69.9,0
93.4,1909.5,0.027,0.0,1.5,5.5,0.7,1.451,129.8,8516.0,44.1,0
65.29,997.3,0.0044,0.123,20.9,8.9,-2.4,0.874,255.6,1334.0,41.4,1
88.38,1864.5,0.0481,0.125,8.2,2.6,-1.3,1.408,297.1,2252.0,89.8,1
100.0,1802.3,0.0192,0.0,2.6,-6.7,2.9,0.085,170.8,6933.0,59.6,0
87.82,1574.1,0.0022,0.212,20.5,6.2,-0.1,0.726,217.3,12715.0,54.3,0
74.34,1500.5,0.0134,0.027,21.6,9.9,-3.3,0.952,189.9,11341.0,61.6,1
14.41,289.3,0.0059,0.065,54.9,30.4,-17.4,1.964,233.3,13388.0,88.3,2
100.0,1722.4,0.0011,0.0,3.9,-3.3,-0.5,0.0,175.1,7307.0,46.4,0
95.13,1572.6,0.0216,0.0,2.2,0.6,0.7,0.0,56.2,13504.0,83.5,1
31.74,705.0,0.0296,0.102,27.7,22.6,-15.6,1.861,117.1,10459.0,97.4,2
74.5,1212.2,0.0201,0.311,18.9,8.5,-6.0,0.205,160.0,8574.0,42.9,1
8.83,51.9,0.0013,0.119,41.6,23.0,-14.2,2.958,57.3,4097.0,71.6,2
10.19,0.0,0.0085,0.114,47.2,27.2,-13.9,3.299,189.7,5079.0,66.8,3
34.33,823.5,0.0137,0.043,34.9,16.8,-13.8,1.78,284.9,7577.0,54.1,2
97.14,1554.1,0.0043,0.0,5.7,8.7,-1.3,0.0,43.8,13850.0,93.0,1
67.91,1330.5,0.015,0.127,18.1,12.6,-7.0,0.0,286.6,12437.0,56.6,1
75.36,1118.7,0.009,0.048,11.3,11.4,-3.1,0.624,56.1,3491.0,90.2,1
97.53,1573.9,0.0345,0.0,-8.8,1.4,1.1,0.0,276.3,2265.0,94.8,1
78.93,1400.6,0.0077,0.023,15.8,10.5,-3.8,0.935,288.7,8784.0,86.9,1
100.0,2242.1,0.0171,0.0,-11.0,-1.6,2.5,0.277,76.7,4795.0,57.6,0
100.0,1983.9,0.0167,0.0,1.8,2.7,-0.6,0.0,100.8,6956.0,41.9,0
83.71,1389.5,0.0446,0.103,11.7,-0.2,-3.4,1.298,57.0,9825.0,99.7,1
25.99,846.4,0.0114,0.002,38.9,25.5,-14.4,2.424,63.0,13893.0,41.6,2
74.75,1554.6,0.1268,0.052,17.0,9.5,-3.6,0.835,138.6,11515.0,93.6,2
65.39,1114.6,0.0416,0.058,21.5,5.3,-6.4,0.649,210.2,6851.0,85.2,2
17.02,474.3,0.0535,0.17,47.4,25.0,-12.3,2.916,163.1,11593.0,56.3,2
93.19,1315.4,0.0108,0.0,15.1,4.0,1.7,0.262,281.6,8568.0,65.3,0
51.09,1172.8,0.0204,0.03,31.7,14.4,-8.1,1.453,200.1,7815.0,65.7,2
89.28,1731.9,0.0664,0.202,9.5,-1.6,-3.6,0.887,108.6,13224.0,83.8,2
63.69,1428.6,0.0289,0.072,25.9,8.2,-8.5,0.81,136.5,8482.0,46.4,1
100.0,1679.4,0.0125,0.0,-9.3,-2.0,-0.0,0.465,48.9,8622.0,68.0,0
59.51,1378.6,0.0053,0.037,21.5,16.2,-4.4,0.604,250.8,11185.0,60.5,1
78.33,1411.0,0.0358,0.153,15.4,10.1,-4.6,0.435,98.9,7667.0,96.9,1
77.36,1198.7,0.0205,0.092,11.7,11.7,-5.1,0.712,265.1,10331.0,72.0,1
84.88,1785.1,0.003,0.067,5.4,5.3,-4.6,0.288,292.4,3709.0,55.0,0
69.58,966.7,0.037,0.025,14.7,8.3,-5.5,0.433,248.0,5329.0,64.6,1
94.56,1654.1,0.0326,0.0,10.8,3.2,-4.5,0.363,179.9,5011.0,56.3,0
59.3,770.2,0.0062,0.041,21.2,16.1,-11.1,0.378,77.2,11472.0,61.6,1
100.0,1990.9,0.0394,0.0,0.7,1.2,-1.7,0.429,51.8,13231.0,87.9,1
86.33,1518.6,0.0162,0.048,7.3,6.2,-2.6,0.0,115.3,1087.0,96.7,1
84.86,1735.3,0.0086,0.074,14.8,-0.7,-2.4,0.086,205.1,7711.0,55.6,0
100.0,1547.1,0.0613,0.0,-6.5,5.2,-0.9,0.0,175.6,14024.0,63.1,1
100.0,2078.4,0.003,0.0,3.2,-2.5,-3.6,0.51,125.4,10192.0,86.2,1
75.0,1499.9,0.0008,0.013,5.7,7.8,-2.3,0.026,227.4,2757.0,49.9,0
100.0,1661.1,0.0304,0.0,-2.7,2.7,-1.1,0.0,279.3,4317.0,80.7,1
100.0,1993.5,0.0246,0.0,-1.2,-0.5,-0.9,1.317,228.8,3329.0,67.1,0
49.67,1195.0,0.0028,0.006,33.0,16.3,-8.9,1.264,42.3,11804.0,66.0,2
100.0,1778.3,0.0443,0.0,-2.6,3.3,1.4,0.28,132.7,6470.0,88.9,1
72.21,1493.8,0.0293,0.088,11.0,8.7,-1.5,0.0,171.8,4766.0,46.3,1
60.97,1024.6,0.0125,0.085,21.5,10.1,-10.0,1.366,35.5,3743.0,47.1,1
88.97,1736.6,0.0049,0.001,15.3,9.1,-5.3,1.523,118.9,8226.0,53.3,0
50.13,1001.0,0.0059,0.168,28.6,18.6,-8.8,1.163,53.9,14618.0,52.2,1
60.06,872.1,0.0028,0.086,25.9,14.9,-7.5,1.714,291.3,864.0,95.4,2
100.0,1787.8,0.0031,0.0,-1.7,-2.7,-2.9,0.316,260.7,517.0,82.5,1
42.28,863.0,0.0402,0.092,34.6,11.8,-11.7,0.906,188.8,5478.0,81.8,2
40.33,618.6,0.0054,0.086,34.3,20.6,-9.2,2.062,96.0,168.0,99.2,2
84.25,1437.1,0.0268,0.024,10.8,4.4,-4.2,0.063,266.3,2304.0,86.6,1
54.12,1135.8,0.0302,0.051,30.3,12.2,-9.1,1.168,57.2,8883.0,55.4,1
96.32,1636.7,0.0296,0.0,2.0,-5.6,0.1,1.064,281.3,7586.0,89.2,1
100.0,1655.6,0.0031,0.0,-6.4,-1.9,-1.4,0.449,193.7,995.0,54.5,0
70.65,1122.5,0.0201,0.018,21.4,6.5,-10.8,0.0,178.2,8445.0,68.4,2
100.0,2053.0,0.0088,0.0,-1.5,-0.4,0.5,0.8,52.8,11616.0,75.4,1
